"region","municipality","county","dummy_coast","hh_category","land_area","holiday_homes","future_hh_area","holiday_homes_1970","hh_dwelling_ratio","median_hh_price","prop_hh_area","prop_wetlands","prop_montainous","altitudinal_range","dist_to_coast","veg_sections","veg_zones","prop_protected","grazing_livestock","infrastructure_index","population","population_change","median_age","urban_settlement_ratio","prop_farm_residents","pop_2hr_drive","pop_4hr_drive","median_income","education","employment_rate","prop_private_sector","municipal_economy","unrestricted_revenues","off_road_motor","ski_lifts","hiker_cabins","activity_data","activity_pr_person","culture_index"
"4628","Vaksdal","Vestland",1,3,682.27,760,0.01287,424,0.376797224,1e+06,9e-04,0.0088,0.0968,1256,7138.779785,-3.555897236,1.064475536,0.023729609,4140,1.369594336,3867,-5.128816794,43,0.73,8.3,399081.9493,562184.4396,406000,4.5,0.645666667,0.5945,4.1,77515,5,0,2,6594.552741,1.705340766,92.41646459
"4629","Modalen","Vestland",1,3,379.09,147,0.498264,22,0.777777778,1696034,3e-04,0.0056,0.156,1282,9297.586914,-3.731930017,0.61370182,0.028806584,475,0.744108379,378,9.604519774,40,0,21.6,329355.1022,487909.6899,428400,5,0.639666667,0.4848,6.4,140796,4,0,3,790.553717,2.09141195,122.8477743
"4639","Vik","Vestland",1,3,794.92,356,2.146879,134,0.232375979,1950000,4e-04,0.0134,0.1225,1640,4749.957031,-2.007119179,0.216446027,0.362959329,14078,1.157249451,2560,-11.12984823,47,0.46,33.1,29958.59629,493677.6727,432300,6,0.736333333,0.6485,2.8,81845,22,0,6,5638.04715,2.202362168,146.1610026
"4640","Sogndal","Vestland",1,3,1229.16,812,2.439186,420,0.120153892,2200000,5e-04,0.0114,0.1231,1737,3728.825439,-1.782777071,0.238930851,0.113824776,20764,1.507501006,12097,14.33121019,37,0.76,14,43920.56805,515139.5511,454200,12,0.714666667,0.556,2.9,66312,10,3,1,37603.99227,3.108538668,224.2975252
"4642","Lærdal","Vestland",1,3,1275.42,486,0.218875,153,0.368181818,1250000,4e-04,0.0042,0.1768,1910,17103.66602,-0.202563018,-1.519173265,0.034247273,9363,0.741988122,2117,-3.451407811,47,0.53,26.7,32807.04277,1865881.362,435900,7,0.690333333,0.5105,5.3,75742,8,0,2,6301.098618,2.976428256,149.2496924
"4643","Årdal","Vestland",1,3,930.04,532,2.179191,306,0.182566918,662500,4e-04,0.006,0.1955,2143,11616.11133,-0.742316246,-1.124319196,0.323022171,1397,0.667984068,5204,-10.41918234,47,0.94,2.3,26135.04229,793133.7889,478100,4.7,0.673,0.7281,-1.3,71557,4,0,2,17468.40282,3.356726139,119.3677609
"4644","Luster","Vestland",1,3,2596.72,672,2.000397,329,0.242950108,560000,3e-04,0.0049,0.2499,2350,15275.22461,-1.387432218,-1.494500518,0.534481696,23655,0.684590042,5246,3.41794923,43,0.45,28.8,30960.78428,293076.8701,427900,5.8,0.725666667,0.6361,4.4,70790,20,2,18,25244.13813,4.812073605,103.3705977
"4651","Stryn","Vestland",1,3,1325.85,1267,2.003271,500,0.319546028,1495000,7e-04,0.0097,0.1938,2058,10392.90332,-1.805377007,-0.514974117,0.361689771,13663,1.139775634,7207,6.96069607,42,0.53,28.1,71376.66127,238556.9084,419300,5.2,0.732,0.7499,0.6,67414,16,6,4,25130.71104,3.486986408,151.5338869
"5021","Oppdal","Trøndelag",0,3,2201.46,4142,19.801051,846,1.159574468,2585000,0.0015,0.0515,0.0939,1716,53059.75391,0.662369788,-1.826936483,0.590381532,46114,1.061827779,7066,11.33905852,44,0.62,21.3,208977.1523,464359.892,421000,5.6,0.701666667,0.7302,1.9,62658,196,18,7,36757.20708,5.201982321,224.6070864
"5022","Rennebu","Trøndelag",0,3,923.86,2117,26.99266,680,1.583395662,1500000,0.0021,0.1423,0.0069,1367,53785.71094,0.43070069,-0.302995324,0.174748874,18332,1.978757143,2443,-7.925925926,48,0.39,36.6,257254.8327,436500.8163,396400,3.2,0.673666667,0.655,7,75565,29,3,4,7266.164135,2.97427922,106.3482715
"5025","Røros - Rossen","Trøndelag",0,3,1756.45,3418,7.546123,1171,1.080619665,1050000,0.002,0.092,0.0099,940,104920.5625,1.575275421,-0.834281027,0.285775285,4060,1.325955868,5572,0.649233544,47,0.69,14.2,21999.23531,358011.9801,434700,6.9,0.708,0.7257,0.5,64474,69.2637362637363,0,3,15065.1294,2.703720281,377.6698783
"5026","Holtålen","Trøndelag",0,3,1170.47,1143,6.561322,484,0.877206447,670000,8e-04,0.1604,7e-04,1083,67347.1875,0.324739307,-0.642035663,0.261415574,7020,1.191767573,1953,-11.52300134,49,0.29,40.4,135245.5811,348811.1392,410000,2.8,0.682,0.5603,-0.7,76628,83,1,1,2918.490832,1.494362945,133.1895024
"5032","Selbu","Trøndelag",0,3,1139.94,1666,21.386245,580,0.738147984,890000,0.0013,0.1222,0.0041,1278,30496.45703,-0.256222785,0.641088963,0.21711669,6120,1.769533992,4090,3.464085583,45,0.31,31.9,260931.7249,355571.443,433300,4.3,0.715,0.6571,2,43675,108,0,2,4989.030336,1.219811818,127.0423897
"5033","Tydal","Trøndelag",0,3,1217.38,1575,10.367857,282,3.336864407,1290000,0.0013,0.1594,0.0195,1465,67005.39063,0.371747434,-0.698690832,0.326917864,979,0.905706763,750,-18.96733404,53,0,36.7,70313.45252,332941.3082,411800,2.9,0.722,0.5612,10.3,95049,30,2,5,4886.825478,6.515767303,183.1299089
"5034","Meråker","Trøndelag",0,3,1188.06,1231,3.392224,505,0.839127471,1615000,0.001,0.1718,0.006,1363,41997.08203,-0.248076633,0.075040713,0.215755097,5290,0.749918461,2399,-8.153204399,47,0.43,18.1,258210.4452,349302.6862,374400,3.5,0.603666667,0.5805,5.5,74602,58,4,3,7560.023448,3.151322821,165.3599828
"5042","Lierne","Trøndelag",0,3,2630.44,1078,3.116228,268,1.256410256,725000,3e-04,0.1404,0.0178,1138,80231.67188,0.628226459,-0.414434761,0.386937596,1488,0.6898399,1309,-13.41853035,48,0.17,41.8,9522.193985,211239.107,402400,3.1,0.722333333,0.6567,1.6,98346,199,1,0,1386.017087,1.058836583,77.29059923
"5043","Raarvihke - Røyrvik","Trøndelag",0,3,1329.64,415,3.667892,134,1.35620915,1530000,2e-04,0.0736,0.0357,1266,50900.64844,0.072969414,-0.871955693,0.348565756,429,0.456948906,441,-22.5210084,49,0.51,29.7,4359.833005,129993.5616,395100,3.5,0.704666667,0.5879,-0.9,127814,40,2,0,285.2701652,0.646871123,182.0384739
"5057","Ørland","Trøndelag",1,3,429.07,1348,0.873557,277,0.239261626,1700000,0.0027,0.0506,0.0163,485,681.1583252,-0.577289701,1.387699604,0.113568565,6007,3.886441231,10371,6.061851433,42,0.52,15.2,83937.90151,347719.2027,427000,4.4,0.670333333,0.5793,2.1,66498,7,0,0,16406.26681,1.581936825,171.7799742
"5061","Rindal","Trøndelag",0,3,611.94,942,16.722478,322,0.953441296,8e+05,0.0016,0.1089,0.0273,1568,23922.63477,-0.989358425,0.354887515,0.258620126,3696,1.708724856,1980,-6.314312442,46,0.36,35.1,262492.2994,423773.2603,409200,3.5,0.702666667,0.661,1.5,74359,52,0,0,3304.646554,1.669013411,133.3070737
"5416","Bardu","Troms og Finnmark",0,3,2513.6,606,0.457166,189,0.229632437,875000,2e-04,0.0309,0.0976,1612,42972.98828,0.868850648,-2.26303339,0.224481027,3946,0.571144462,3993,2.982771921,38,0.63,12.6,37676.157,145184.8189,478200,6.8,0.740333333,0.3682,0.5,69623,85,1,4,18175.47851,4.55183534,86.67183597
"5418","Målselv","Troms og Finnmark",1,3,3202.56,1003,5.555425,283,0.225596041,1250000,3e-04,0.0285,0.0992,1702,35707.81641,1.08756125,-1.915320039,0.257808572,7289,0.726378739,6599,-5.869010491,41,0.56,17.5,20045.58833,138045.5483,454200,5.7,0.706,0.466,0.3,69060,69.2637362637363,4,4,26015.80885,3.942386551,185.4868889
"5425","Storfjord - Omasvuotna - Omasvuono","Troms og Finnmark",1,3,1476.62,320,0.057374,55,0.317775571,1870000,2e-04,0.0056,0.2811,1568,16642.37695,0.919849098,-2.340270996,0.094147445,2659,0.54392457,1836,-2.297008547,48,0.29,15.5,83319.50947,135242.1069,405200,3.6,0.617666667,0.6195,-0.8,87074,17,0,2,1736.266187,0.945678751,137.4217905
"5426","Gáivuotna - Kåfjord - Kaivuono","Troms og Finnmark",1,3,949.55,131,0.004625,7,0.099771516,1696034,1e-04,0.0036,0.4026,1371,8658.59082,0.795011997,-2.354640722,0,5856,0.655880928,2012,-12.57914732,49,0.26,20.6,8433.140475,115886.8695,370700,4.1,0.618333333,0.5346,0.4,85105,15,0,0,948.0393361,0.471192513,221.3432302
"5428","Nordreisa - Ráisa - Raisi","Troms og Finnmark",1,3,3334.74,451,0.010701,38,0.177279874,1087500,2e-04,0.0278,0.1671,1356,25261.68555,1.352587342,-1.910293221,0.278719251,7485,0.429005772,4746,0.829703381,44,0.55,15.4,6780.853713,100964.2345,418000,4.6,0.658,0.593,1,72266,42,0,1,4283.160037,0.902477884,151.3584438
"5430","Guovdageaidnu - Kautokeino","Troms og Finnmark",0,3,8968.86,437,6.476975,86,0.32014652,8e+05,0,0.16,7e-04,756,86703.38281,3.483317137,-1.650171757,0.126842148,268,0.182168722,2877,-5.149934811,41,0.52,5.8,10158.78068,31778.89883,377600,7.4,0.683,0.5375,6.4,88789,966,0,0,1242.919001,0.432019118,212.4572411
"5437","Kárášjohka - Karasjok","Troms og Finnmark",0,3,5209.56,321,2.518972,42,0.248837209,7e+05,0,0.1017,0.0013,905,74355.75781,3.471697569,-1.336222887,0.052487201,910,0.2236467,2584,-9.410548087,43,0.68,14.2,4737.94379,41575.31989,414900,6.9,0.676,0.4117,3.3,83506,463,0,0,857.2036514,0.331735159,182.4018109
