"region","municipality","county","dummy_coast","hh_category","land_area","holiday_homes","future_hh_area","holiday_homes_1970","hh_dwelling_ratio","median_hh_price","prop_hh_area","prop_wetlands","prop_montainous","altitudinal_range","dist_to_coast","veg_sections","veg_zones","prop_protected","grazing_livestock","infrastructure_index","population","population_change","median_age","urban_settlement_ratio","prop_farm_residents","pop_2hr_drive","pop_4hr_drive","median_income","education","employment_rate","prop_private_sector","municipal_economy","unrestricted_revenues","off_road_motor","ski_lifts","hiker_cabins","activity_data","activity_pr_person","culture_index"
"3405","Lillehammer","Innlandet",0,3,450.72,1735,3.255731,830,0.108491746,2390000,0.0034,0.0923,3e-04,965,134973.5781,1.037538171,0.669099927,0.019258076,11233,4.257795811,28425,14.6456884,42,0.87,5.3,467628.3809,2203429.099,439400,11.7,0.682,0.5788,-1.4,61117,11,0,2,156484.6563,5.505177003,293.5253634
"3411","Ringsaker","Innlandet",0,3,1122.55,7286,13.196985,3598,0.430030101,2500000,0.006,0.0874,2e-04,963,120402.3516,1.327558875,1.00251627,0.052584226,22640,4.625379086,35073,9.948769844,43,0.57,13.4,614694.4717,2152368.987,425200,5.3,0.673666667,0.7272,2.1,60064,0,5,5,111348.7514,3.174771231,84.23083454
"3421","Trysil","Innlandet",0,3,2940.77,6926,15.73603,1012,1.73671013,3350000,0.0023,0.0945,0.0101,902,179319.5469,1.362551689,0.375542969,0.065799093,583,1.938658357,6603,-6.252652426,48,0.43,23.8,88518.42123,1812884.117,391600,4.5,0.650666667,0.6506,0.2,69735,69.2637362637363,34,0,25274.47615,3.827726207,130.0052337
"3422","Åmot","Innlandet",0,3,1293.32,2106,6.484299,418,0.627719821,2678500,0.0021,0.085,4e-04,858,155778.9531,1.384065747,0.814709127,0.083853957,3054,2.453513622,4195,-0.525234072,43,0.5,15.1,297567.1776,2073639.259,378700,4.7,0.624333333,0.4328,6.2,72315,15,2,0,19151.51445,4.565319296,129.4343644
"3423","Stor-Elvdal","Innlandet",0,3,2126.99,2098,13.855084,900,1.085359545,850000,0.001,0.0787,0.0237,1526,155559.1094,1.560008287,-0.336158097,0.172792666,7909,1.510599971,2318,-19.68791501,52,0.46,23.5,38116.1584,1604694.391,366100,6.3,0.580333333,0.5306,2.5,79541,14,0,1,6559.397559,2.829765988,145.4875393
"3424","Rendalen","Innlandet",0,3,3060.83,2279,18.806353,727,1.934634975,725000,8e-04,0.0942,0.0158,1474,166758.5938,1.925280571,-0.436248869,0.232844579,1641,1.058198094,1722,-21.134249,54,0.15,35.5,25820.00535,1675637.576,371400,4,0.623666667,0.6169,-2.3,81882,136,1,0,3348.280661,1.944413856,146.0494952
"3425","Engerdal","Innlandet",0,3,1915.9,1668,6.636621,414,1.919447641,2350000,8e-04,0.0835,0.021,979,170217.9531,1.682632923,-0.453275949,0.315188684,865,0.95690161,1253,-19.74683544,52,0,44.3,15337.02254,1306304.527,382300,3.7,0.645333333,0.5625,-2.2,91540,111,0,1,4814.419476,3.842314027,170.719933
"3426","Tolga","Innlandet",0,3,1097.27,710,7.390285,339,0.794183445,452500,7e-04,0.0993,0.0103,1106,115337.4609,2.132209301,-1.537448525,0.203756699,8965,1.191881895,1551,-13.79690949,43,0.37,49.4,12122.42203,428504.1653,413300,7.4,0.707666667,0.6501,1,80603,9,0,2,3041.128454,1.960753355,249.8629181
"3427","Tynset","Innlandet",0,3,1822.51,1859,6.821514,820,0.592793367,850000,0.001,0.0949,0.0039,1258,101530.4609,2.146940708,-1.353104115,0.289136661,18433,1.522375822,5581,1.918509044,43,0.51,28.3,52794.33353,759810.2871,425400,6.8,0.723333333,0.5877,3.5,69097,69.2637362637363,4,1,13210.4056,2.367032001,215.9856857
"3428","Alvdal","Innlandet",0,3,919.08,752,4.979248,383,0.589803922,825000,8e-04,0.0454,0.0339,1421,122579.8359,2.204683304,-1.383941054,0.009085172,17169,1.600923777,2445,0.620604055,43,0.32,34.8,17798.87552,1515821.089,441200,4.2,0.745333333,0.7444,1.9,76136,7,0,1,4622.243634,1.890488194,149.271463
"3429","Folldal","Innlandet",0,3,1260.27,537,3.337895,326,0.520348837,2100000,5e-04,0.0421,0.0412,1616,95477.29688,2.357529163,-1.982592463,0.422675913,18182,1.171100259,1530,-14.82910695,51,0.33,40.1,20499.4394,543097.6603,395000,4.3,0.681666667,0.601,4,81914,47,2,1,6309.984395,4.124172807,202.8238259
"3430","Os","Innlandet",0,3,1006.65,1146,9.928583,339,1.03057554,1480000,0.0011,0.1152,0.0042,956,109991.0547,1.815240145,-1.18581593,0.30210382,9573,1.48248589,1855,-11.96461825,48,0.36,47.1,10370.8927,401825.1143,421600,3.7,0.734,0.6231,9.2,80853,13,4,2,2782.843939,1.500185412,187.3811872
"3431","Dovre","Innlandet",0,3,1349.19,659,5.196956,580,0.472401434,1010000,4e-04,0.0282,0.1218,1858,82267.97656,1.414129376,-2.054070473,0.754595316,11236,1.041842103,2498,-10.45247282,50,0.46,26.9,37076.07669,1625677.579,401100,4.6,0.667,0.6387,4.7,74942,17,2,3,11594.11863,4.641360539,143.1252563
"3432","Lesja","Innlandet",0,3,2169.14,2164,3.263443,525,1.956600362,1880000,8e-04,0.0074,0.2164,1707,51373.37891,1.165956259,-2.366729021,0.8055991,19813,0.643335044,1986,-14.24229266,46.5,0,48.6,42017.7929,621755.0296,409500,4.9,0.727,0.6429,3.7,81040,6,6,0,5668.816084,2.854388764,148.0231922
"3433","Skjåk","Innlandet",0,3,1966.68,719,1.012589,282,0.532198372,1800000,3e-04,0.0016,0.332,1791,37239.26563,0.215696067,-2.241050243,0.780989088,7868,0.521545649,2151,-7.921207041,49,0.28,34.2,30735.112,313733.1972,396900,3.9,0.694666667,0.6876,5.2,72715,9,2,7,3316.091252,1.541650977,169.4777744
"3434","Lom","Innlandet",0,3,1887.24,271,0.302656,193,0.198099415,822500,1e-04,0.0049,0.2964,2078,53636.63672,0.652303636,-2.851769686,0.616650594,10270,0.592543483,2211,-13.20607713,48,0.38,34.5,16120.84686,507550.0805,403600,4.8,0.700333333,0.666,3.6,74782,22,1,4,25234.80722,11.41330042,192.5654654
"3435","Vågå","Innlandet",0,3,1251.96,1072,2.712699,493,0.550590652,2350000,8e-04,0.0152,0.1229,1984,75906,1.087620735,-1.873597264,0.284282245,16120,1.342561245,3591,-6.495547407,46,0.51,27.3,39886.34514,1642161.497,398800,4.5,0.685,0.6671,6.7,70679,15,3,1,27281.03201,7.597057089,198.4892068
"3436","Nord-Fron","Innlandet",0,3,1091.82,2515,4.017419,947.5,0.759818731,1752500,0.0031,0.0518,0.0272,1618,102165.0625,1.63322103,-0.923118174,0.199153707,17617,2.099283218,5628,-3.863598186,48,0.61,22.8,60872.65148,1537457.191,392200,3.5,0.66,0.6691,6.2,70161,51,0,2,11791.22154,2.095099776,146.2377241
"3437","Sel","Innlandet",0,3,888.48,2079,3.668017,839,0.664641944,1250000,0.0028,0.0263,0.1145,1856,100914.9844,1.613916159,-1.328444242,0.286793175,8525,2.137656927,5531,-8.512673362,48,0.53,20.1,46990.05986,1736258.19,377500,3.6,0.640666667,0.6072,3.5,72017,16,0,4,21843.84135,3.949347559,130.3464551
"3438","Sør-Fron","Innlandet",0,3,711.55,1924,2.142759,948,1.16464891,1450000,0.0031,0.0674,0.0118,1386,113817.6641,1.567396522,-0.885997355,0.378267469,20288,2.181775808,3064,-6.110776641,47,0.38,32,116248.7878,1739115.181,405900,3.9,0.661,0.6057,0.3,68458,7,11,2,8838.234796,2.884541382,161.9474589
"3439","Ringebu","Innlandet",0,3,1221.33,4369,3.028441,1075,1.738559491,2700000,0.0039,0.0982,0.0221,1239,143334.3906,1.499951124,-0.840215504,0.067344616,24023,1.989077926,4385,-7.575757576,47,0.48,28,158942.9436,1865870.411,394800,3.8,0.668,0.7603,0.7,68192,15,0,4,19972.36469,4.554701184,128.399178
"3440","Øyer","Innlandet",0,3,616.48,3542,5.217953,472,1.443357783,3625000,0.0051,0.1788,7e-04,1102,149423.9063,1.047480583,-0.216732726,0.021396013,8220,2.712288857,5082,4.959868286,44,0.6,19.1,182111.8043,2036411.28,422600,5.6,0.676666667,0.7055,1.7,68009,18,18,2,28829.99486,5.672962389,90.71820499
"3441","Gausdal","Innlandet",0,3,1146.42,3100,5.1465,527,0.949754902,2015000,0.0024,0.1279,0.0014,1361,115923.2422,1.323451638,-0.378379017,0.427211905,23598,2.270935535,6079,-1.293242806,47,0.46,27.2,158376.0377,1912544.563,423000,4.2,0.707333333,0.6697,-0.4,63601,14,11,5,22613.41545,3.719923582,91.21975504
"3448","Nordre Land","Innlandet",0,3,920.49,2672,5.006441,799,0.724708435,1490000,0.0027,0.0979,0.0017,1270,115240.2109,0.93421334,0.280845374,0.080478875,13152,3.120671034,6577,-4.561151079,47,0.45,20.6,209462.9614,2121247.83,384900,3,0.647333333,0.6757,1.7,67163,5,2,0,14236.51932,2.164591656,96.20898659
"3449","Sør-Aurdal","Innlandet",0,3,1068.24,3567,13.402006,1476,1.95131291,1450000,0.0033,0.0983,0.0045,1088,98957.86719,0.973446846,0.191689044,0.160374444,4767,2.847078085,2889,-12.83564473,49,0.22,39.2,166532.3832,2220440.245,380600,3.9,0.682333333,0.6748,2.4,78649,8,0,2,5665.840351,1.961176999,139.1066642
"3450","Etnedal","Innlandet",0,3,442.75,2506,3.418858,722,2.844494892,1225000,0.0056,0.1051,0.003,1018,107857.875,1.030465245,-0.169446319,0.036657256,2977,3.718096733,1256,-8.708065667,49,0.18,33.5,150755.7029,2087725.502,380500,4.2,0.682,0.5796,2.8,90924,6,1,0,4270.546989,3.400117029,88.64540895
"3451","Nord-Aurdal","Innlandet",0,3,849.13,4806,5.669621,1659,1.336484983,2027750,0.0054,0.1399,0.0018,1002,90478.64844,1.55960989,-0.458120793,0.092577108,11891,3.469272137,6354,-2.240853659,46,0.56,22.8,83682.11386,2021274.107,412000,4.8,0.699666667,0.672,0.9,67652,14,0,2,18273.86571,2.875962498,300.1403544
"3452","Vestre Slidre","Innlandet",0,3,415.17,2740,5.829324,828,2.149019608,1543750,0.0072,0.0878,0.0121,1287,67248.41406,1.40021193,-0.614949822,0.005973457,4632,3.866542101,2111,-6.879929886,47,0.27,45.4,36918.51714,1786338.331,418800,5,0.719666667,0.5964,1.3,74237,13,2,1,11201.65543,5.306326589,150.4258318
"3453","Øystre Slidre","Innlandet",0,3,885.51,3605,9.816701,1356,2.036723164,2582500,0.0036,0.1212,0.0231,1588,75209.64063,1.221512556,-1.063837886,0.231265245,10445,2.080132961,3252,5.522875817,45,0.31,31.9,20368.67438,1641084.827,428700,5.7,0.742333333,0.7036,1.7,68910,20,9,3,24559.54905,7.552136854,148.506887
"3454","Vang","Innlandet",0,3,1310.01,1818,8.018424,433,1.986885246,1650000,0.0013,0.0194,0.1373,1813,42790.48438,0.477374107,-2.024456501,0.055657338,9383,1.025893092,1587,-5.791044776,45,0,46.4,23959.31352,1636543.506,411500,7.5,0.712666667,0.6411,1.8,84112,19,5,6,16786.45575,10.57747684,220.304557
"3815","Drangedal","Vestfold og Telemark",0,3,995.28,1412,11.582086,276,0.643866849,1600000,0.0014,0.0246,0.0226,786,28150.12109,-0.414220184,2.319792986,0.086728491,2103,2.151396751,4093,-2.754491018,46,0.39,22.8,378802.6299,2367395.377,382200,3.4,0.630333333,0.58,-0.6,71027,7,7,1,5543.601807,1.35441041,70.13190537
"3818","Tinn","Vestfold og Telemark",0,3,1848.01,3557,13.644296,1244,0.949039488,3900000,0.0016,0.0446,0.0096,1667,81549.89063,0.799502611,-1.034725904,0.193575792,3731,1.296421289,5512,-13.24695122,48,0.67,16.7,445281.0071,2170562.161,417000,3.9,0.656333333,0.6754,4.5,72972,82,14,9,27797.89615,5.043159679,204.9631736
