"region","municipality","county","dummy_coast","land_area","holiday_homes","future_hh_area","holiday_homes_1970","hh_dwelling_ratio","median_hh_price","prop_hh_area","prop_wetlands","prop_montainous","altitudinal_range","dist_to_coast","veg_sections","veg_zones","prop_protected","grazing_livestock","infrastructure_index","population","population_change","median_age","urban_settlement_ratio","prop_farm_residents","pop_2hr_drive","pop_4hr_drive","median_income","education","employment_rate","prop_private_sector","municipal_economy","unrestricted_revenues","off_road_motor","ski_lifts","hiker_cabins","activity_data","activity_pr_person","culture_index"
"3421","Trysil","Innlandet",0,1.33358520995811,6926,15.73603,0.702514636474099,0.577943750828879,2.0123856066145,0.27387571271452,0.828874712456852,-0.689472255065559,-1.30254120535402,2.66044525534199,0.778381002016772,0.770594417359431,-0.870601006258831,-1.04149524294996,0.29523479928942,0.355543775452917,-0.199105729136511,0.623226005444433,-0.000913415953911461,-0.2156258159397,-0.286473038913795,0.717714691834601,-1.0139153365171,-0.354924304935764,-1.04514919037361,0.2336654017105,-0.685454129617186,-0.591349395055006,0,5.09296178779511,-0.953548128392685,0.419806845893152,0.0535280714435128,-0.47196825046063
"3422","Åmot","Innlandet",0,-0.11767658055447,2106,6.484299,-0.403865987662912,-0.557495730612326,1.19536945583411,0.155277747833679,0.623196112842196,-0.793978810811218,-1.41923157424743,2.12778225735172,0.793397733007555,1.15755636130485,-0.781694414975975,-0.728131761185734,0.786713695384435,-0.0705192101162028,0.35653349890692,-0.899517635062115,0.309191300399047,-0.999289149581015,0.334683411086737,1.0212294870134,-1.52194891701757,-0.251847485837653,-1.75775516185141,-2.45406557001981,0.994976803142723,-0.393122959157702,-0.393285435477432,-0.31722075474973,-0.953548128392685,0.139274965700734,0.329171737834168,-0.482054971824997
"3423","Stor-Elvdal","Innlandet",0,0.616715004559873,2098,13.855084,0.493904148421329,-0.0889414008869286,-1.02937221460809,-0.497011059010949,0.486798725729318,-0.542947599587107,0.352340389861615,2.12280776073,0.916204959473855,0.143494120602534,-0.343738335645338,-0.112437829997819,-0.113388123145866,-0.402628937654923,-1.50251303576724,1.84142091784967,0.131988605340214,-0.242648689513539,-0.436235664605117,0.475385196199112,-2.01816776308781,0.572767066947236,-2.94843852708817,-1.24717810888471,-0.0412889387258878,0.162064725258547,-0.400533101461321,-0.655357163658783,-0.643165012774932,-0.437650123841299,-0.319416601953748,-0.198410533019566
"3424","Rendalen","Innlandet",0,1.43934774634401,2279,18.806353,0.171675448125533,0.780589059401301,-1.18146010566922,-0.61560902389179,0.822379598784811,-0.628061186225325,0.214433590260312,2.37622324324214,1.17116363008899,0.0553012601132303,-0.0480279450910466,-0.907323424371835,-0.545249250368237,-0.508083065312397,-1.64282754607978,2.45051837405229,-1.24133228136575,0.838266253439998,-0.472771805311369,0.557961923543598,-1.8094407881535,-0.612616352681042,-1.7757958008598,-0.182204817514988,-1.38563368493381,0.341928324652187,0.483682148573196,-0.486288959204256,-0.953548128392685,-0.584771844513435,-0.650278850191629,-0.188481303014796
"3425","Engerdal","Innlandet",0,0.430762865581877,1668,6.636621,-0.411316362236226,0.765039510860175,0.79568247812546,-0.61560902389179,0.590720544481987,-0.57203705324827,-1.09833305979055,2.45449963301883,1.00179649091133,0.0402982097722836,0.357454682071782,-1.00573300019095,-0.641946492329289,-0.591066263083126,-1.50822913684764,1.84142091784967,-1.90584238783637,1.63093721160593,-0.503920387588277,0.128064189369686,-1.38017210385465,-0.767231581328209,-1.1894744648066,-0.85352054231815,-1.35762650272115,1.08397131608481,0.302490498975959,-0.655357163658783,-0.643165012774932,-0.517598685746978,0.0589796412174358,0.247422032521981
"3426","Tolga","Innlandet",0,-0.290379772778812,710,7.390285,-0.551010885485848,-0.387061986169764,-1.51301170818248,-0.674908006332211,0.932796531209521,-0.687317480720287,-0.761522222302753,1.21269546466206,1.31559909980254,-0.914997456660355,-0.191263820943933,0.0214803556529403,-0.417635197628064,-0.53833919925439,-0.931003577715108,-0.899517635062115,-0.266717458542162,2.09032606236118,-0.513472082014181,-0.893681326157872,-0.159316212729472,1.13968957198685,0.497326987319459,0.227495220416354,-0.461396671915865,0.243660258174414,-0.436771431380769,-0.655357163658783,-0.332781897157179,-0.59884444374837,-0.644172665794684,1.64580383138197
"3427","Tynset","Innlandet",0,0.348494305919386,1859,6.821514,0.344896656955065,-0.593255172779228,-1.02937221460809,-0.497011059010949,0.837534864019575,-0.75627025976897,-0.358410038852791,0.900278620986193,1.32588156608736,-0.75256629034751,0.229168112815289,1.22217863381714,-0.10214694015037,0.174714717624163,0.593610564800383,-0.899517635062115,0.353491974163756,0.189717287667876,-0.392621709111884,-0.508046324184989,0.317211409290355,0.830459114692514,0.921282409931283,-0.542543405093156,0.238782883400764,-0.640368180366045,0,0.0209156541593228,-0.643165012774932,-0.132925076987483,-0.492343510627977,1.04722513076748
"3428","Alvdal","Innlandet",0,-0.447349840733188,752,4.979248,-0.469056765179403,-0.596315915378194,-1.05978979282032,-0.61560902389179,-0.234158891867321,-0.433054107978269,0.0738747368205232,1.37657175482046,1.36618567937187,-0.779737604993222,-1.14987430316072,1.06188262372002,-0.0271653582607087,-0.38015800776818,0.467695731696212,-0.899517635062115,-0.488220827365704,0.775212881767708,-0.496605367475105,0.371938100788071,0.939454089283188,-0.509539533582931,1.51662409254966,1.39119141249242,-0.209332032001879,-0.0995480709547558,-0.451266763348548,-0.655357163658783,-0.643165012774932,-0.526403485274602,-0.67043124506612,-0.131552175027773
"3429","Folldal","Innlandet",0,-0.146790788680022,537,3.337895,-0.575224602849116,-0.667427488721848,0.491506696003202,-0.793505971213052,-0.305605142259781,-0.354404844375865,0.591025235325408,0.763311111941453,1.47287150998821,-1.30722659464416,0.886748236253621,1.19034770143234,-0.437473269052523,-0.542054864826213,-1.03114108547412,1.53687218974836,-0.443920153600995,1.25261698157219,-0.488581054382654,-0.760296339396047,-0.880015012974335,-0.458001124033875,-0.206258637593169,-0.378416582668854,0.378818794464089,0.344386947112928,-0.161360123992968,-0.31722075474973,-0.643165012774932,-0.449077329705033,0.16431222727641,0.8146674990303
"3430","Os","Innlandet",0,-0.370208200625636,1146,9.928583,-0.551010885485848,-0.145031992232639,-0.26284924366,-0.437712076570528,1.27703755582774,-0.753038098251063,-1.15933029807574,1.09172006450177,1.09435582956372,-0.605163854874099,0.293021593257612,0.0985847655730746,-0.140225718940105,-0.484550516690846,-0.753245846881055,0.623226005444433,-0.31101813230687,1.88315069829508,-0.518676483894329,-0.924735312812639,0.167558106507269,-0.767231581328209,1.20993293173628,-0.105694569467569,1.83519226952268,0.262868246148959,-0.407780767445211,0.0209156541593228,-0.332781897157179,-0.61067810271402,-0.816290108764004,0.541810658248199
"3431","Dovre","Innlandet",0,-0.0684599146550874,659,5.196956,-0.102125817443728,-0.716518426629018,-0.834699714049847,-0.852804953653473,-0.606545409064384,0.513969216768484,1.23282226423916,0.464418219823116,0.814382032171372,-1.3702079268691,2.52120101869333,0.309480544680284,-0.56086261775066,-0.37078037561072,-0.606546711689053,1.23232346164705,0.131988605340214,0.0636105443232966,-0.439326108547059,0.499809289849462,-0.639782079559381,-0.303385895386709,-0.603153101692415,0.0868150869098097,0.574869069952745,-0.191285421521183,-0.378790103509653,-0.31722075474973,-0.0223987815394255,-0.206977479213779,0.357588879114383,-0.240149842533637
"3432","Lesja","Innlandet",0,0.653845530202597,2164,3.263443,-0.204568467826784,0.803078316000328,0.223832007735614,-0.61560902389179,-1.05687329032595,1.53317748208183,0.832362134627688,-0.23464694164924,0.641158136561666,-1.6457003739106,2.77235619648736,1.39718535370165,-0.94127595477537,-0.461371840980898,-0.974211938876555,0.166402913292469,-1.90584238783637,2.01826506616428,-0.424642553613679,-0.668740425486619,-0.308969515512559,-0.148770666739542,1.02050603272134,0.138644609780642,0.294797247826094,0.277235821153919,-0.458514429332437,0.359052063068376,-0.953548128392685,-0.478453334425858,-0.310214899342139,-0.153607941114468
"3433","Skjåk","Innlandet",0,0.47549567915572,719,1.012589,-0.657178723155562,-0.65529534494518,0.126495757456491,-0.912103936093894,-1.18244548798542,2.77863705364866,1.05513465706056,-0.554465516219729,-0.0221198779586075,-1.53496118474119,2.65117044408567,-0.117637305008881,-1.05753565236374,-0.432177325773712,-0.360978730360425,0.927774733545743,-0.665423522424537,0.721167134620032,-0.458167316621255,-1.02727288875626,-0.805188361582792,-0.664154762230098,0.145534174863145,0.690258817477358,0.714904981016071,-0.36239017839843,-0.436771431380769,-0.31722075474973,1.21913368093159,-0.58624664639388,-0.800794138782702,0.225474263236521
"3434","Lom","Innlandet",0,0.40551586997285,271,0.302656,-0.82294955741178,-0.997362487829588,-1.06283155064154,-1.03070190097473,-1.11099923759296,2.39508722019036,1.81627410870621,-0.183435247477809,0.282630551375218,-2.07308366654805,1.8419272773635,0.186975840761123,-0.989761387533297,-0.421561138425644,-0.873684622450699,0.623226005444433,-0.222416784777453,0.74819000819387,-0.501591373340646,-0.80167315106444,-0.541325959307351,-0.200309076288598,0.298879741739343,0.42370698557022,0.266790065613429,-0.203578533824892,-0.342551773590205,-0.486288959204256,0.287984334078328,0.417989359509377,2.88830990296055,0.633411957667806
"3435","Vågå","Innlandet",0,-0.154111184127022,1072,2.712699,-0.26417146441329,-0.636464413154123,0.79568247812546,-0.61560902389179,-0.888000334852862,0.525820475667477,1.56698104788847,0.320463078487921,0.586480237537221,-1.21118778719635,0.205263774392747,0.928852153315047,-0.273797257848398,-0.177388829420085,-0.222669920085512,0.0141285492418138,0.353491974163756,0.099641042421748,-0.430975825080838,0.518996305519182,-0.730361710191249,-0.354924304935764,-0.116055361368287,0.437281384417343,1.13501271420605,-0.518820032463124,-0.393285435477432,-0.148152550295203,-0.643165012774932,0.511739952075559,1.46215323299787,0.738078873433577
"3436","Nord-Fron","Innlandet",0,-0.295180754148986,2515,4.017419,0.582377346479423,-0.42224629096249,0.0687023588532619,0.748267572237886,-0.0955964668637629,-0.505239048544859,0.596329343002381,0.914638020483814,0.96730717676491,-0.373693299868677,-0.213930085747825,1.11869639945064,0.448566686396946,0.183030731046816,0.0326657552601889,0.623226005444433,0.796498711810839,-0.305702061185828,-0.36861822118433,0.397122175842658,-0.990285867656609,-0.87030840042632,-0.792580000707353,0.46196210959393,0.994976803142723,-0.558618983546381,-0.13236946005741,-0.655357163658783,-0.332781897157179,-0.197946939314485,-0.593966474056758,-0.185155476127589
"3437","Sel","Innlandet",0,-0.474305809527194,2079,3.668017,0.380285936178303,-0.519693023183231,-0.542690963212478,0.570370624916624,-0.647681128987315,0.43531995316608,1.22751815656219,0.886351973236018,0.953832449931935,-0.730837766371564,0.217628211325081,-0.0343188883682095,0.485198084423713,0.165867894834106,-0.418359188657941,0.623226005444433,0.442093321693173,-0.548907923350374,-0.409868221792914,0.628523344118855,-1.56920785473855,-0.818769990877264,-1.31575904610924,-0.301906334621434,0.238782883400764,-0.416018880823359,-0.386037769493542,-0.655357163658783,0.287984334078328,0.262627611749397,0.0989788164093031,-0.465939190594634
