"region","municipality","county","dummy_coast","holiday_homes","future_hh_area","median_hh_price","prop_hh_area","prop_wetlands","prop_montainous","altitudinal_range","dist_to_coast","veg_sections","veg_zones","prop_protected","infrastructure_index","population_change","median_age","urban_settlement_ratio","prop_farm_residents","median_income","education","employment_rate","prop_private_sector","municipal_economy","unrestricted_revenues","culture_index","ln_land_area","sqrt_future_hh_area","ln_holiday_homes","ln_holiday_homes_1970","ln_hh_dwelling_ratio","ln_grazing_livestock","ln_population","ln_pop_2hr_drive","ln_pop_4hr_drive","ln_off_road_motor","ln_ski_lifts","ln_hiker_cabins","ln_activity_data","ln_activity_pr_person"
"3046","Krødsherad","Viken",0,1763,0.972357,2.22530865410008,1.41715853905347,-0.18951918989884,-1.44938326589771,-0.186026539351163,-0.106396912002984,0.296667678884141,1.67594222178026,-1.08137404884356,1.47808396094366,0.226717253885664,-0.290420178859496,0.102646765156756,-0.168169345401857,0.329026143720599,-0.00947539478428724,-0.36195647240677,2.14571386099395,1.61113481182136,0.157608472048453,-0.551149748115275,-1.93675710199168,-1.11523641603261,0.209797810264584,0.199476019816821,0.650123834122639,-1.08119636082747,-0.406922042494279,2.14715314249752,1.00899786807867,-0.502000425235774,1.42774125116118,-1.4272358775418,-0.0243116687469452,0.431259118976134
"3050","Flesberg","Viken",0,3605,13.885255,0.187330913880943,2.2998133950931,0.0713023603836738,-1.12801750998985,-0.777434545333672,-0.501845706815599,0.216073431783261,1.68703578299634,-1.70841467642167,1.92402106113377,1.17472012418214,-0.594968906960805,-0.107740808431665,0.465926263614207,0.805553765740426,-0.615710361082965,0.36405967804521,0.129586506542256,-1.6376983248478,-0.355244806871899,-1.92581075581614,-1.21247342284087,1.15677321272577,1.05763852651943,1.07154403381027,1.25562289132031,-1.94907293375902,-0.148691339123581,2.12306385932031,1.00359540797011,-0.407780767445211,0.556389034789974,-1.4272358775418,0.0674054256264823,0.277510746771732
"3051","Rollag","Viken",0,2421,11.159153,-0.23851518109022,1.69771482949134,0.463607443763593,-0.770427223024935,-0.766826329979726,-0.0248368924492184,0.252632993620805,0.875489775378594,-0.203083918933712,1.17177500346594,-0.255743291707175,0.623226005444433,-0.407145376112206,1.14670358451109,-0.415302125384751,0.28295164502941,0.760206893411452,-0.0240678442383618,0.826933709866732,0.826353781370212,-1.14193656574565,-1.56597915137466,0.836924937772015,0.585727534863402,-0.21884911635883,1.38476055435625,-0.518170066506628,-0.964117792469871,0.844685728289042,0.943312252399318,-0.386037769493542,-0.355593227960076,-0.539142837912582,-0.377703566922999,0.518578308826499
"3052","Nore og Uvdal","Viken",0,4095,12.98327,-0.0560097118168642,-0.179533653874132,0.608987272661303,-1.27619181912429,-0.546705861385339,0.238724867969866,0.786880578671031,-0.706036755127785,0.797366590706378,-0.342870740560608,-0.73323217097508,0.927774733545743,-0.640604286051818,1.03491541680717,0.124237413596375,-0.264561855998131,1.35755183799118,0.067845037166804,-0.377375125277869,0.0792398811123091,-1.18809059303232,1.05594971754974,1.05473806180897,1.20869721452478,1.03040943712985,1.29699141711183,0.494162098108363,-0.270567701274027,-0.375971705488492,0.898299360176525,-0.0236544702990679,0.334294721526131,1.52294534167642,0.0918424949145461,0.456537971670407
"3405","Lillehammer","Innlandet",0,1735,3.255731,0.844350603265022,0.95885504125715,0.880107139223116,-2.27694475516755,-1.13546181352936,1.65701021498243,0.551522797573237,1.02925590358074,-1.45086282972061,2.50907467482128,1.82832395143457,-1.20406636316342,1.64586654923538,-2.463593978,0.868565682701726,2.68695760622002,-0.228392966049481,-0.669380704897681,-1.13356904501983,-1.25348715651352,2.41727800213876,-1.49101882231779,-0.436768024984556,0.190821988761167,0.641714399894934,-2.21600538978499,0.640484617956836,2.64140932008999,1.36780796405726,0.945867107964101,-0.42227609941299,-1.04548117744628,-0.0196417125780211,2.49627967724866,0.87669065757013
"3411","Ringsaker","Innlandet",0,7286,13.196985,0.978187947398816,2.40713522010413,0.826091640474689,-2.4853279415303,-1.14076592120633,1.32730089423092,0.753956150394242,1.32303864134455,-0.962770154266686,2.85996828415436,1.3726575343278,-0.899517635062115,0.534130833323529,-1.02026194856869,0.309334919670193,0.226574159704754,-0.450397619158249,1.20858164526864,-0.153317667576548,-1.3343912018623,-1.28075865125505,-0.0517702279794333,1.07922660161489,1.89164465842587,2.13775591822294,-0.701225059367053,1.28012636228601,2.89128804811752,1.5691303671612,0.924621991984218,-0.502000425235774,0.737853301674973,0.868451327051197,2.19933592561456,0.121602506857176
"3421","Trysil","Innlandet",0,6926,15.73603,2.0123856066145,0.308727849433614,0.90352426497932,-0.465068003440661,-1.30254120535402,2.66044525534199,0.778381002016772,0.770594417359431,-0.821563033780845,0.29523479928942,-0.199105729136511,0.623226005444433,0.131807013965776,-0.0234184770966402,-1.0139153365171,-0.264561855998131,-1.04868880026416,0.19172216067444,-0.685454129617186,-0.591349395055006,-0.47196825046063,1.46721834382289,1.35624208031586,1.83158355594137,0.843937664667675,0.834136362721304,-2.05951972594776,0.905804253626682,0.142384704786909,0.76908302912,0,2.4931493654483,-1.4272358775418,0.905355482369521,0.378169558664375
"3422","Åmot","Innlandet",0,2106,6.484299,1.19536945583411,0.187918675133334,0.798629539745291,-2.12907959705843,-1.41923157424743,2.12778225735172,0.793397733007555,1.15755636130485,-0.655685340895388,0.786713695384435,0.35653349890692,-0.899517635062115,0.332968923644652,-0.822607840847839,-1.52194891701757,-0.134437915033371,-1.71180639728405,-2.33668466394007,0.994976803142723,-0.393122959157702,-0.482054971824997,0.171581962363517,0.178504762556694,0.420510231200574,-0.0579485902057064,-0.285195128187489,-0.548153521683197,0.366447134358632,1.03500825995089,0.890855662716205,-0.393285435477432,0.0479653521887664,-1.4272358775418,0.66327978307671,0.619897134068682
"3423","Stor-Elvdal","Innlandet",0,2098,13.855084,-1.02937221460809,-0.491682745557205,0.723040186144124,-0.0197115430978744,0.352340389861615,2.12280776073,0.916204959473855,0.143494120602534,-0.0767188676629062,-0.113388123145866,-1.50251303576724,1.84142091784967,0.218479498748578,-0.0469986584223395,-2.01816776308781,0.750302724821246,-2.78127827234458,-1.22288390808281,-0.0412889387258878,0.162064725258547,-0.198410533019566,0.9562505394734,1.15341471475327,0.415999147467795,0.724302824376079,0.31708753312453,0.320277390398508,-0.338841232601953,-0.477940075470983,0.658546948986099,-0.400533101461321,-1.04548117744628,-0.539142837912582,-0.271715251753764,-0.0362065389078451
"3424","Rendalen","Innlandet",0,2279,18.806353,-1.18146010566922,-0.618102112821439,0.900359987475378,-0.232184234827,0.214433590260312,2.37622324324214,1.17116363008899,0.0553012601132303,0.205288108182159,-0.545249250368237,-1.64282754607978,2.45051837405229,-0.872452514044827,0.780652975706292,-1.8094407881535,-0.615710361082965,-1.72833608495168,-0.219989181297173,-1.38563368493381,0.341928324652187,-0.188481303014796,1.53033101012902,1.66282594880908,0.514084204460971,0.506565223760762,0.952845724169882,-1.11504250798196,-0.692227387778164,-0.764692288180456,0.697746924735622,0.483682148573196,-0.355593227960076,-1.4272358775418,-0.858508565835438,-0.550935590710053
"3425","Engerdal","Innlandet",0,1668,6.636621,0.79568247812546,-0.618102112821439,0.78110646919302,-0.0832771348580961,-1.09833305979055,2.45449963301883,1.00179649091133,0.0402982097722836,0.5282924271786,-0.641946492329289,-1.50822913684764,1.84142091784967,-2.42117751245074,1.30313461131632,-1.38017210385465,-0.847178281120783,-1.18471295905361,-0.857951933670359,-1.35762650272115,1.08397131608481,0.247422032521981,0.791397049035418,0.203159422098627,0.144142932851537,-0.0677563557867917,0.944177076194786,-1.69944084908571,-1.0702579612719,-1.14817829415737,0.472125772347904,0.302490498975959,-1.04548117744628,-0.539142837912582,-0.541601318591708,0.383387514657369
"3426","Tolga","Innlandet",0,710,7.390285,-1.51301170818248,-0.681652603275862,0.952968676492317,-0.454889165245807,-0.761522222302753,1.21269546466206,1.31559909980254,-0.914997456660355,0.075362601599287,-0.417635197628064,-0.931003577715108,-0.899517635062115,-0.0462456762718885,1.59407453241838,-0.159316212729472,1.24343062351482,0.476094928037973,0.185490324210469,-0.461396671915865,0.243660258174414,1.64580383138197,-0.0876959395359944,0.32118195248777,-0.868228191789926,-0.271619491912108,-0.0264728281904495,0.434656799182442,-0.816578492630515,-1.32134843578548,-0.537909268711743,-0.436771431380769,-1.04548117744628,-0.0196417125780211,-0.94247038146915,-0.539456466086334
