"terms","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36"
"pop_4hr_drive",-0.1189791174882,0.208092881516432,-0.319841828576008,-0.0104548420419791,0.0449258656777876,0.212938582383265,0.00980996214757414,0.0079914271939574,0.14959104040623,-0.0111308181353515,-0.063023137391225,0.115280878840106,0.101446138932816,-0.05794370258233,-0.00974207284239801,-0.00277286670276573,0.0115542675581546,0.0746681784376011,0.0177117551489707,-0.106790890822341,0.183047258699613,-0.0762785775101882,-0.0635541270034043,-0.2754085017449,0.0689274254940873,-0.679104483999099,-0.154214193518138,0.185079572041905,-0.209116255798937,-0.135929570555405,0.0344937646487002,0.0476361304615043,0.104283114764666,0.0169079401093646,-0.0372044450980422,0.0166196521097201
"median_income",-0.177456105337631,0.0799316288299502,0.229905782340625,-0.203244127323315,-0.159836579720154,0.0819209538295252,-0.221567306365878,-0.264096442374435,-0.0441598678417521,-0.00773702434459352,0.0626351780682684,0.110846255612022,-0.149770456702598,0.0185779175665791,-0.127075791994059,-0.144935968295144,0.143510894192314,-0.0698778714417034,0.185073655030905,0.0132717536811079,0.297236983215118,-0.036216658854782,0.0195564952826088,-0.0350305729719033,0.460971948184114,0.151075023481707,-0.0829854842885277,0.339009270581799,0.186716782907365,-0.0560637659252671,-0.273069055652438,0.0457844161702775,0.112215537755366,0.00996956650416662,0.0537808523726133,0.0119520485315678
"education",-0.190020067303928,0.149630818421952,0.184402547150289,0.0948716074417574,0.0379792733324022,-0.0489349803682094,-0.275647909707602,-0.107070359618506,0.209599773923041,0.0785881729305323,-0.0676087937169379,0.138542203789396,-0.0415500132568978,0.127970476658367,-0.119279649851777,-0.0216173246516667,0.0847009183106289,-0.106832633661425,-0.233112946926459,0.460110120346086,-0.121831410241337,-0.55286222649209,-0.0368668715260467,0.0316772269052674,-0.0389099563846508,-0.0186948019411652,-0.0776568633415197,-0.187824414772427,-0.180692540722928,-0.0362528849838636,0.0853805389896533,0.0288515743221362,-0.0812954047558506,-0.0337389091155876,0.00676766784269747,0.000554548081472565
"employment_rate",0.033337483245422,0.124106927003434,0.185250899184232,-0.408089309253128,-0.247585102970172,0.178818552012339,-0.221137716513765,-0.124394463039401,-0.0606080335104283,0.134282806307692,0.0809306864517417,0.104471834321473,-0.0648975804471547,-0.0544372617666349,-0.00717710826475659,-0.149820512551397,0.117022985519071,-0.100912735186681,0.0841640311717231,-0.248630643096165,0.220397706544219,0.156283719410673,0.00719185400172787,0.0786490677812358,-0.302630790259435,-0.073854654529205,-0.0428814116277976,-0.381034934268472,-0.21531401513114,0.106470146961679,0.242832487787609,-0.0539364605413746,-0.139030885690176,-0.0143385321739164,-0.026527743332759,-0.015655996165953
"prop_private_sector",-0.106849195441845,0.0213792995694537,0.030279034269366,-0.290761963346344,0.0215466784580379,0.0725623162985699,0.043630002854063,0.425435476044269,-0.489973860793217,-0.0726498048658282,-0.482313219586024,0.0633152286071258,0.0438707518243766,-0.043689735291479,-0.0121463463165124,-0.0889854113115776,0.351264847911871,0.130019874136359,-0.141967863823671,-0.0231316236472038,-0.10654202332271,-0.17942671632252,0.0605987197617,-0.016941286339259,0.041307996272901,0.00634120448708137,0.0673552069481431,0.0241048598776373,0.0252628603159051,-0.0313896449900912,-0.0217943956257823,-0.0377504251907957,0.00105757627407872,0.00406531240318801,0.0353807173050091,0.00281121865692493
"municipal_economy",0.0453795672446918,-0.0511270311328256,0.0319579737145046,-0.291082518867734,-0.0780490403213942,-0.115429827495951,-0.277645395445534,0.142746137968525,0.232247447167043,-0.710470313974874,0.091954154624531,-0.0587570145895828,0.171439490413272,-0.162501496780074,-0.206222199995886,0.267353111520995,-0.00234755359790674,0.148994036721362,0.039673400474954,0.096215572009317,-0.0029212758974399,0.0277179207150974,-0.0617712861164588,0.0731107784754585,-0.0686350242056037,-0.0387645928035892,0.0106098302928032,-0.00156365315790559,0.0129982303206359,0.0288022180372978,-0.0398161609988409,0.0034427648301257,0.00620150268786348,-0.0144779104602949,-0.000656496910462908,-0.0115030870964362
"unrestricted_revenues",0.243560560954128,-0.119913915084943,-0.00180867693059904,-0.117181546856608,0.124147491266406,-0.0181698067935147,-0.166800680346946,-0.13457746923654,0.14723262093072,-0.0799525484226671,-0.160975653199149,-0.0344492868497025,-0.0672930406080081,0.108106048058311,0.024316806565557,-0.0405149494648186,-0.0267337972423635,-0.2115512899555,-0.0641051201835755,-0.281644817752567,-0.144492937556932,-0.188266426383934,0.637139091485621,-0.173748525638027,-0.235195309740912,0.0451855693924126,-0.112450556089646,0.243765964070133,0.0196062606354269,-0.0165375180493541,0.00699768524166614,0.125302649591237,0.0829931623277688,-0.0151719922566742,-0.0392490033163171,-0.0376718513957372
"off_road_motor",0.187131843689949,0.15476131183838,0.121077530791763,0.142054021944819,-0.177648840211694,-0.140618438755218,0.031000070407773,-0.267443351036598,-0.0702638371654402,-0.00979495022947038,-0.0158271704041252,0.110936657199516,-0.0178876755388476,-0.0355393747022645,0.211300679808754,0.21888190778885,0.476523605596936,0.228007597754208,0.166834871213056,0.214774475511134,-0.324527270445343,0.24495102565227,0.139912987663459,-0.147100703299374,-0.0108106024167754,-0.132845233103909,-0.28614406364906,-0.0272947321616302,0.0298177124179829,0.045951118808883,-0.00746176968250476,-0.0800117387622749,0.0202005796537186,-0.00416222496586684,0.0284918762299355,0.000597212004663986
"ski_lifts",0.049370604066272,0.240636129767935,0.0942007290184143,-0.051781922021129,-0.0212424583837727,0.159176939779801,-0.0258734790870861,-0.168304532715905,0.0563155169531668,0.100522289330754,-0.128804439924387,-0.814885776032393,0.155267573918936,-0.268958420256095,-0.103113927260167,-0.134978128786795,0.0359550242161589,-0.0428903801261885,-0.0482937621389569,0.0767600455658907,-0.132752359111375,0.0065694699442559,0.00824201271929649,-0.0268383415900081,0.0945879003558392,-0.0687890896674215,0.0538448038985699,-0.021471025408994,0.0631733428753953,-0.0293913868230749,0.0257328028483113,-0.0291702711276906,-0.0123992643601039,0.0203623180893836,0.0180788451602397,0.000202646782231568
"hiker_cabins",0.0280124102286648,0.250157672508804,0.100101339555286,0.104372661153918,0.113612458480365,0.200693530200076,0.103952649259146,0.0749792037325821,0.087740833541808,-0.334261523768832,0.0988741402656862,-0.0565243014011341,-0.718619452006135,0.0517184738889473,0.0394653630348072,-0.287420738514949,-0.0165640097182248,0.226216822850563,-0.0651484583780372,-0.10044341343339,-0.159153254992572,-0.0127749723785343,-0.0768767491314754,0.00100683685616368,-0.0610052789295446,-0.0446572300501476,0.043418454171488,-0.0233588744225496,0.0227192263946923,0.0449717984707092,-0.0288895965006932,-0.0226221178831044,0.0109930898761273,0.0321081970483204,0.00331086312504449,-0.00845529425261187
