"terms","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35"
"dist_to_coast",0.0982537816837817,0.265136263510933,0.168559169469289,-0.236988725266185,0.0261333222653003,0.201408278633178,0.0644810726596777,0.0426729291824001,-0.0445530176006631,-0.131388736450119,0.0783210196706833,0.0505622672670669,0.0165745421864218,-0.25519979929709,-0.0791346835048089,-0.0283986825826927,0.0870500794573008,0.26537427236328,-0.154815707623364,0.1339415132083,0.000320859041671853,0.00475023077760802,-0.013833831153346,0.0712469599081895,-0.265855979756778,0.088236994977934,0.0676371729431304,0.591762186567299,-0.285395299905681,0.120562503855515,0.015557348322909,0.104471072557878,0.0965439368229377,-0.066107084972684,0.0926388970004108
"veg_sections",0.0250701118550969,0.16587174025759,0.132116066414814,-0.353934737681453,0.102059369074295,0.332733542802615,-0.0365841107693176,0.0182668096574332,0.0706002802551842,-0.265607077571419,0.0848794060971095,0.149096520990534,0.0809407174230484,-0.101719065300729,0.0265443514599172,-0.0864945132528383,-0.0681599536695361,-0.0537683485729984,0.140587017410383,0.0356383522192537,0.151375107234851,0.197228580478231,-0.317371199492872,0.00330691145852878,0.159775457937963,-0.136355976623865,-0.0813823739133961,-0.245280181892466,-0.0191999753397278,0.0127196427733563,0.0230914504157315,-0.49830405594519,0.0388587903157603,0.121858128791813,-0.0923404974105601
"veg_zones",0.186252057022254,0.0893142214764678,-0.304980809595103,0.0944530789229128,-0.0014493939406436,-0.331101128894122,-0.00495602342391335,0.0375007437149528,-0.107562615880783,0.17185540792894,-0.0633922349205735,-0.0989305137211894,0.0568529843505886,-0.197971311097701,-0.0513050369028662,-0.103364481024661,0.172433631847121,0.0330959788972881,-0.0545067926424921,-0.177640842593839,-0.231584709930472,-0.0545404563154352,0.00261085274776972,0.0114239208931423,0.0257349040574301,-0.0516629345550794,-0.210079228064381,0.0520005732940678,-0.342988700656274,-0.012201747706959,0.33041154014949,-0.47144985466753,0.0763112354530212,0.0764775016109283,-0.0227857088212255
"prop_protected",-0.141991620833601,-0.0752387594209127,0.305097596089585,0.116798541097079,-0.0970224062403521,-0.145226876071887,-0.0594692607001984,0.0782333250177203,-0.108472343354312,-0.265002844946801,-0.185562295399624,-0.111010210634138,0.311802441753491,-0.302681165645448,-0.334876971537466,-0.130823431695587,0.0783067333909516,-0.291598826208024,0.0512258968722284,-0.0633676353091501,0.340475530150567,-0.277355299581302,0.0799215047755374,0.051448171823672,0.093947346833709,0.151295456105961,-0.194207419852922,0.0747914374098826,0.054247742550189,-0.0254485745611996,-0.0254155507147315,-0.0145461386841344,-0.0346465167024607,0.00607463039022488,0.00701290886305549
"grazing_livestock",0.0559702648381386,-0.138540879777678,0.246213171035361,-0.0290550180421191,-0.221215376406283,0.13757022846758,-0.314032030584776,-0.103200136542846,-0.366923041823063,0.263718138518545,0.195068734484434,-0.0367958854292038,-0.108085347389798,0.187501456329724,-0.157503140572206,-0.0979940913232522,0.141354432120366,0.337211347824143,-0.0800826538016614,-0.00654927432109583,0.183595046059246,-0.181482958737888,-0.0321966268640659,0.130692061043783,0.299415545672255,0.0022521309318557,0.208274634402363,-0.0757724545548448,-0.0286263493289957,0.0809244651607544,0.19535277452135,-0.0702731256313133,-0.000827135263226884,-0.00118528099139861,-0.00952819061612302
"infrastructure_index",0.30727850651934,0.103399785734437,-0.122531569196614,0.000519629161494922,-0.1052471376985,0.0951744808293911,-0.11959474188547,0.111261248375438,-0.0933409846912112,0.113746080342334,0.0591847281155654,-0.0939543103217271,0.00906500108504829,0.0211770628903723,-0.0193529813382218,-0.0365882068306244,-0.0678906750659857,-0.137630288187691,0.000710096896531918,0.0521948346674921,-0.0559601183868525,-0.122600729812043,-0.170421336595389,-0.0052162972379242,-0.055053966283567,0.138643062931515,-0.0706160113462226,0.0254118789964232,-0.0899838498677125,0.130518044863657,-0.371352011244362,-0.0888685345754149,-0.703424105605571,-0.149287463396666,-0.0861023739869076
"population",0.196960207412002,-0.237050115810846,0.0126207687229936,-0.280994853075614,-0.147506725742434,-0.0548288643194071,-0.0523660689505145,-0.0611163346955314,-0.0443933383982655,0.0286997208898261,0.0379323553297305,0.0207026820216878,0.0267169656060206,0.00941313727628578,-0.0351490135819773,-0.118756490381746,0.0321014176111131,-0.155268257654728,0.00756387336830175,-0.0549099186404113,-0.227835985258567,0.0657418454690198,-0.0871543106874757,0.0850025056428718,0.0676469803437423,0.160499787021494,-0.0707639452636931,-0.0509058566942832,0.0147516744123883,-0.171738080293136,-0.291786859890509,-0.0667995860296564,0.311868038565193,-0.391181898284975,0.516773368745314
"population_change",0.220483460020258,-0.191864474493136,-0.122815677126951,0.0185146517407715,0.193697349685913,0.0175867251047856,-0.154201509264307,-0.0951396574932133,-0.00122891353281822,-0.107063294316621,0.115546641889777,0.333825869693233,0.166871844816101,-0.0218747465375264,-0.0191010706884045,0.25100689523604,-0.0829718766236506,0.00585681843364039,-0.0221505437894087,0.249697484981991,0.160554044181097,-0.273458130557989,0.114867268190353,0.0750436008366272,-0.179069388107592,0.0264416158573219,-0.101357128779678,-0.358784350933083,-0.451524302635872,-0.0225664690515204,0.0416382615452258,0.163379415325671,0.0580571380943755,0.0277652088221168,0.0518170297412959
"median_age",-0.110501648148599,0.240943607890637,0.0965200877286186,-0.0137965566001674,-0.345424637866159,0.0348834599344735,0.191109816401852,0.197803578660036,0.0116431619976685,0.0120782307648666,-0.17811883543422,-0.189817553883821,0.0242520751894964,0.0450086498844534,0.0960897905906552,-0.224472416508041,-0.283658584380335,-0.0400008679329167,0.175327064440429,-0.0243781334445881,-0.079518889460437,0.0366822425154141,0.0813879279057405,0.309380372182403,0.065122004239808,-0.0621130839496545,0.136589384752225,-0.285048264072782,-0.449683020486376,0.113239933388749,0.0255334280159293,0.2050957122301,0.0566267008594828,-0.0198747469600206,0.0316566887787303
"urban_settlement_ratio",0.103679549802922,-0.27113531506205,-0.0680917962101818,-0.236560765423447,0.0345574939366565,-0.000821708927056962,0.103541068885128,-0.0347748043175557,0.0374289845808381,-0.0968754053833344,-0.321522961200426,-0.280942948319637,-0.277007918278131,0.0814532548923648,-0.110106691606074,-0.0959779138974363,-0.0267843801984209,0.12776405333532,-0.0837246320683427,-0.0718738628195163,0.241517844136529,-0.171904054381892,-0.0994279075418366,0.109271720768657,-0.298998430542058,-0.384345405859447,0.0581023439827899,0.0176352800361153,-0.058601509568987,-0.379418838053597,-0.0615858352159453,-0.0513166386649069,-0.0889455121608599,0.0232196391230157,-0.0470761719990505
"prop_farm_residents",-0.079138163577524,0.249641752955369,0.189469654886257,0.195413204845108,-0.0823373422583723,0.085429470198064,-0.300635021275417,0.113102231887837,-0.0178491884061477,0.22349315593319,0.26617101567702,-0.014539575277792,0.132704423183567,-0.0419248664349405,0.0527629686682728,-0.0630907739864227,-0.0332935932864612,-0.0632739575716515,0.0563644916132197,-0.146532167447366,0.0276152321753726,0.0956036131083566,-0.0269042690475075,-0.217493482654808,-0.291366208676836,-0.0427540956119598,0.0302615842769024,-0.0325294115243739,-0.114045279066744,-0.628093411655873,-0.0533293102773481,0.0309611421764525,0.0416472560149612,0.0564656169261582,0.00116416912391223
"pop_2hr_drive",0.219530820213179,0.00312888885560746,-0.185705616931758,0.152282506753598,-0.182573997138373,-0.229669700778545,0.0782465112490677,-0.0448814719422066,-0.22833009321086,-0.0693170394771951,0.140013063004823,0.053330462367728,0.216362109984754,-0.161111767601954,-0.0234258265534086,0.184523134804195,-0.143707928545944,0.0619636297955208,-0.154488169405782,-0.100113455483803,0.331592656506334,0.499025848608717,-0.139658649603694,0.330714589287717,-0.00142532250339952,-0.171103744984818,0.0895517130065922,0.0282000386387493,0.131611676268457,-0.0220833300507642,-0.0448456745724481,0.0918476014627805,-0.0180186062279796,-0.0150595714239678,0.00284763673040224
"pop_4hr_drive",0.254892376546446,0.142152781673675,0.00883303778538972,0.0747080316581225,-0.0308460488541389,0.169134945063546,0.217021446227428,0.208502534740462,0.0567834169933149,0.105795628784772,0.114686803987623,0.114128479211751,-0.165345043418328,-0.207797702325225,-0.206120075853496,-0.176765045893345,-0.12868705616735,0.157695901445939,-0.0801840352352184,0.195917899804627,-0.128212821455358,-0.128686180564918,0.250543879591815,0.288623339679718,-0.0555411070634447,0.0760105254763846,-0.246683755208547,-0.196955040910305,0.424778638681837,-0.189244211429865,0.107116530321923,-0.00935420733924597,0.0205930755049124,0.0303002929412559,-0.0348035045784687
"median_income",0.113486459219168,-0.242713411514332,0.0184778919091443,0.134790282741014,0.301914599242611,-0.0880450394296257,-0.124636004563992,0.201740979552275,0.212766668669131,-0.07244515611311,-0.0100672108343668,-0.196731753889979,-0.0976883517050909,0.0247372787254254,-0.090053371397655,-0.154627313592422,-0.0477679976867924,0.101856323082218,0.19013861347962,0.297447601921271,0.100998134184821,0.394675567307745,0.131420763728168,0.059347669850313,0.214179222472171,0.336575713377403,0.182892437129327,0.108238970431176,-0.177696287690386,-0.193175912514242,0.0856631770723006,-0.0774548038544882,-0.110156996418529,-0.0176011506404122,0.00481625416471755
"education",0.0979867133949809,-0.216444508186998,-0.0202910423525944,-0.0827856560431139,0.283941624238158,0.160061824967231,0.139887754399188,0.340694197641041,0.0399033989599821,0.186153969923594,0.144473919486004,0.0890878424650551,-0.00523720928857368,-0.225029892570751,0.278854305525413,-0.113879389503167,-0.0816159461915177,-0.01860259692227,-0.11553241570346,-0.541093770675885,0.22522440909815,-0.109218553697231,0.186633408556039,-0.0487735494954397,0.20557925543861,-0.0141614124204343,0.0737633564757466,0.0453015665700068,-0.0705235588391168,0.0767751839031537,-0.0938293560925235,0.0714885730538362,0.00786481046817366,-0.00932204189161904,0.00783396298903692
"employment_rate",0.0572625038556645,-0.0687563019222899,0.230387767527349,0.231639210729322,0.305729417257202,0.0247463229143089,-0.423252540101939,0.0371418968664709,0.200501776386353,-0.000953146818669121,-0.00280704513750117,-0.125302667998288,0.0161276100321373,0.0764763674913764,-0.0574247789260431,-0.126756376793756,0.00365672560973644,0.00265247160269931,-0.0127361918981027,-0.211676817676761,-0.189393204937907,0.0838019782735627,-0.151660490452881,0.382208748719142,-0.26640649233262,-0.196771367202267,-0.166461141158321,-0.0252756738383258,0.0696018133256561,0.339268334642046,-0.0443230790227894,0.058761236570714,0.0917579300291038,0.0114930391622313,0.0186152089582467
"prop_private_sector",0.177697420793926,-0.0402866367510314,0.113074175483421,0.122973332990774,-0.202157406767344,0.0241266397460297,-0.268548574925959,0.0250886840550433,0.175730411065791,-0.0756729446547108,-0.578648585729263,0.349334763488314,0.0731636805356688,-0.225427476769161,0.119731687586255,-0.010295904138923,-0.102402932674698,0.257360955570512,-0.214117665873496,-0.0741202134842996,-0.174372704750534,0.0208779988553733,-0.0992481815741642,-0.158817320595652,0.132316977199607,0.0407730756847003,0.172743790863718,-0.0452853250702617,0.0519583793795006,-0.0811559056434612,0.014753821581295,0.0305343141900402,-0.0686518545109382,0.00650527481163037,-0.0194261039788907
"municipal_economy",-0.0203507708815955,0.0354632120951902,0.0693037497267499,0.210058344534577,0.280579919209813,0.111275060594136,-0.00545407173347254,-0.204570123900638,-0.607837027400195,-0.20204768774622,-0.121662555922404,0.130173266630578,-0.380633366852562,-0.0861595260581708,0.0414167239830479,-0.0773565629186894,-0.262466572696705,-0.266599686129471,-0.0262258594701083,-0.0614211729151688,-0.182926144860595,0.0497987877789141,0.0509276094679508,0.0484929883160756,0.00115516673381657,0.0568462614533835,0.0985542180595153,0.0444708025023103,-0.0629455646162894,-0.082810312308397,-0.0101475692595125,-0.0451507909532429,0.0175027075379816,0.00261573020341708,-0.0294073643496133
