"terms","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35"
"veg_zones",-0.233156993867272,-0.1326790265031,0.152808352103407,-0.091432204371412,-0.091908345579663,-0.130236306949997,-0.16031615797824,0.188635077691729,0.167327381586978,0.0591579779950463,0.142432619333758,-0.0633434049865187,-0.081375489476699,0.241300590552028,-0.0872321221154167,0.0570645619784514,0.0301005576089794,-0.0406868331580866,0.187070899628071,-0.0184163026763192,0.117006870683546,0.0139201019496722,-0.166899011622838,-0.184519007347926,-0.246446724062489,-0.0469516732554624,0.0857008737027176,-0.172337475661867,-0.456081054212174,-0.164820150265493,0.161746675246685,0.446290207437653,-0.058691087846466,-0.0192327600237138,0.0111352060595955
"prop_protected",0.154482749596619,0.156807031224332,-0.145275918619199,0.0414082235404463,0.19836534149225,-0.131526572315937,0.160150009604578,-0.104297762101516,-0.284214920489305,0.0273149879343704,-0.096416389884284,-0.194892670541883,-0.0346644179513219,0.555831146277195,-0.234801723343495,0.155713552744559,0.338723098548871,-0.325411789305151,-0.0685391383080529,-0.216549009646968,-0.0352022857830134,0.0872624234928847,0.0301979449156798,-0.00358616613483888,0.0125788706049527,-0.0151234300087301,-0.144934219305411,0.0810676047673049,-0.0593732124360719,-0.0207793570819494,-0.0450426651401693,0.0188213705519325,-0.00934170121982411,0.0274095876318374,0.0090256776189614
"grazing_livestock",0.0692148412667145,0.193516157356256,-0.141130980698178,-0.219344713992292,-0.120173340045688,-0.0480474371064149,-0.382636793304267,-0.324587199726055,0.131460158941391,-0.0516743430291284,-0.356228884084317,-0.0478863513750505,0.135912555049056,-0.075846997690723,0.103201924065933,-0.212242469981741,0.135580640584612,-0.0792164040915249,-0.253000914544317,-0.0302334095430027,-0.111059358674623,0.306114281087062,-0.261327258076793,0.154249015465058,-0.233568543897863,-0.0531378002423167,0.121039046888024,-0.0516055305292414,-0.00609724342264149,-0.102454376921397,0.129523318827552,0.0395257802983167,-0.0186933477034531,0.0149082568887372,-0.0174540836294084
"infrastructure_index",-0.27602085868031,-0.0593561467113283,0.168531817480276,-0.0850984502205504,0.0439518147508507,0.0414065192959715,-0.0253573748586789,-0.130900737256127,0.039128509135646,-0.116393071474451,-0.0632344555681794,0.0649770736550309,-0.0705539937722242,0.0142797655064313,0.166159148399604,-0.0534487244884109,0.000462609381305525,-0.126068182453116,-0.0580931393945639,-0.0943270307702734,-0.17094424044671,-0.0433576900402487,0.0277734995137738,-0.00715578517878226,0.269243691054012,-0.190681772018486,-0.139519184857929,-0.0808982689201199,-0.293639560716099,0.10005938618731,-0.124322090520069,-0.187561209878885,-0.430624393208271,0.523432075672827,0.0550648762837004
"population",-0.266955192951781,0.120258016800975,-0.105920194841605,0.154394773623508,-0.120670586390093,0.0191073579721222,-0.173049827652509,-0.102914748248979,-0.0397418468908075,0.0783755847893883,-0.0425262048023063,0.0575163824941109,0.0459831231477835,0.0505925791551942,0.0550849739525247,-0.065713103528821,-0.0557434319916881,-0.139083222452327,0.066643040559026,-0.0247177552216628,0.0275658740306219,-0.164915273133676,-0.124843171313349,-0.0793375881418953,0.070363559869084,-0.111031282107528,-0.114767037276518,0.0769853280022884,-0.102602995155305,0.0732416556457904,-0.15747807239623,-0.155193727697423,-0.0734651452525215,-0.516718379658316,0.589912930936755
"population_change",-0.271789138665287,0.0645554190144847,-0.056045535257812,-0.0692681026511239,-0.16067577954279,-0.0425252189289788,0.0932628482349281,0.104766788847852,-0.10544670090815,0.00764004843082204,-0.163562642930142,-0.0765662203850175,0.110013094906777,0.00807731789497026,-0.0370274084559753,-0.0321434655983628,0.099163958382273,0.337205197806434,0.165919716839381,-0.0369745157227621,-0.19886718467329,0.053767957023325,0.028844558031047,0.077936249823732,0.109588480420685,0.153019002435079,-0.36030802550767,-0.153650547432304,0.0794324736012169,-0.628241166206066,-0.107568813446989,-0.0541827109961382,0.0460598643894989,0.00960408027623923,0.00239006945255558
"median_age",0.214330731584979,-0.0351698743382928,0.207324040987663,0.146181336828902,0.275311785657436,0.0441648477848567,-0.0669665993688881,-0.109063181739852,0.0647124803790865,0.00832878456125613,0.0370802624830139,0.0407973484482235,-0.147594560905643,0.0856363395339862,0.19252754743733,-0.00438238887193797,-0.316395854004135,-0.214375895631028,-0.207047580313814,-0.0806520959930555,0.305974806885203,-0.176232075335991,-0.0439439707349751,0.101708231674247,-0.115942184310662,-0.0136393927762482,-0.0287173356927452,-0.134889325421236,-0.0270988247188962,-0.557310970026198,-0.0578287416528646,-0.197165112805066,0.0463995309003385,-0.00769591888150958,0.00685864567264756
"urban_settlement_ratio",-0.23339034449295,0.0506425181676868,-0.209519265124066,0.218974699156046,-0.01673170013847,0.0721326730502531,0.0337263771814669,0.038517447088685,-0.100622328886954,0.0690585949376597,0.179841585808363,0.0640528968391394,0.0581997188556355,-0.0589761948550233,-0.0986357677554073,0.083262071165613,0.0816310646732716,-0.0327086206349279,-0.438838735437205,0.239026329186394,0.0979027155841387,0.234038318188833,-0.00244427736355683,-0.102807423122369,0.0869222891728919,0.00245208593659019,0.316987989993134,-0.238317403216985,0.00840468526775943,-0.112508625630742,-0.476248637570506,0.160129812483708,-0.0240383189901347,0.0709051424695569,-0.011742504240444
"prop_farm_residents",0.227719403840433,0.0672090550905411,0.196895403787608,-0.21073771970425,-0.0503428212790108,-0.169766213112181,-0.0203599648983504,-0.0641407524080196,0.129083515348631,-0.181934888251537,-0.184459001997496,-0.127092926980341,0.0613383011181424,0.0778514091901283,0.071884060291661,-0.127511817498469,-0.163285371714105,-0.00399801335476367,0.172464097927308,-0.240509774555705,0.0107099559719781,-0.0427528855260366,0.0774911541760537,-0.256095979706163,0.141115790967106,0.0133656453570595,0.0528677115953154,-0.279844712429443,0.138608147076836,0.140362063122572,-0.54310574724084,0.219275356586565,0.125020555658471,-0.0795941341585868,-0.0212190152801839
"pop_2hr_drive",-0.220475482604671,0.0642703945475359,0.242519857107749,0.0262824680596444,-0.00732204583293432,-0.277277478816949,-0.00775914752172697,0.0470937097722853,0.0932694482411123,0.080481489091764,-0.0427710246655648,-0.0535842066984416,0.0137770117848566,0.25526028872265,-0.0261309405741912,0.048807474088394,-0.100256912400299,0.180857569981457,-0.102334950437997,-0.0925687416900001,0.11081823567117,-0.0790430733509866,-0.339233641271042,0.439130123293788,0.243633021840863,0.359766504278468,0.265081167308403,0.211034981427915,0.0900317369512806,0.1177413029196,-0.0638342153225376,-0.0153167914095672,-0.0288998636271636,0.0346287913118144,-0.00991358743598147
